date,close,open,high,low,volume
1998-12-22T00:00:00-05:00,23.27,23.31,23.39,23.19,15200.0
1998-12-23T00:00:00-05:00,23.75,23.34,23.75,23.31,67800.0
1998-12-24T00:00:00-05:00,23.63,23.81,23.81,23.59,12300.0
1998-12-28T00:00:00-05:00,23.5,23.75,23.75,23.34,13500.0
1998-12-29T00:00:00-05:00,23.73,23.56,23.73,23.34,22000.0
1998-12-30T00:00:00-05:00,23.38,23.72,23.72,23.36,21800.0
1998-12-31T00:00:00-05:00,23.34,23.34,23.34,23.22,13000.0
1999-01-04T00:00:00-05:00,23.33,23.28,23.75,23.28,28600.0
1999-01-05T00:00:00-05:00,23.2,23.47,23.47,23.17,42700.0
1999-01-06T00:00:00-05:00,23.97,23.47,24.0,23.31,56400.0
1999-01-07T00:00:00-05:00,23.86,23.97,23.98,23.58,72600.0
1999-01-08T00:00:00-05:00,23.97,24.0,24.56,23.38,421100.0
1999-01-11T00:00:00-05:00,23.52,23.75,23.78,23.44,35000.0
1999-01-12T00:00:00-05:00,23.16,23.5,23.59,23.13,89200.0
1999-01-13T00:00:00-05:00,22.81,22.75,23.19,22.69,42400.0
1999-01-14T00:00:00-05:00,22.38,22.75,22.88,22.38,70000.0
1999-01-15T00:00:00-05:00,22.72,22.56,22.75,22.45,10700.0
1999-01-19T00:00:00-05:00,22.72,22.81,22.81,22.53,12800.0
1999-01-20T00:00:00-05:00,22.53,22.59,22.81,22.52,15800.0
1999-01-21T00:00:00-05:00,22.72,22.53,22.91,22.5,23900.0
1999-01-22T00:00:00-05:00,22.59,22.75,22.81,22.56,19300.0
1999-01-25T00:00:00-05:00,22.56,22.69,22.69,22.38,18200.0
1999-01-26T00:00:00-05:00,22.34,22.59,22.59,22.16,25700.0
1999-01-27T00:00:00-05:00,21.94,22.38,22.38,21.88,37100.0
1999-01-28T00:00:00-05:00,21.81,22.0,22.0,21.63,30800.0
1999-01-29T00:00:00-05:00,21.81,21.69,21.81,21.44,18600.0
1999-02-01T00:00:00-05:00,21.59,21.81,21.88,21.59,23100.0
1999-02-02T00:00:00-05:00,21.63,21.63,21.81,21.53,26500.0
1999-02-03T00:00:00-05:00,22.13,21.75,22.25,21.75,29400.0
1999-02-04T00:00:00-05:00,22.25,22.13,22.31,22.06,26000.0
1999-02-05T00:00:00-05:00,22.88,22.31,22.94,22.19,66000.0
1999-02-08T00:00:00-05:00,23.19,22.97,23.19,22.94,31100.0
1999-02-09T00:00:00-05:00,22.75,23.22,23.22,22.75,64300.0
1999-02-10T00:00:00-05:00,22.81,22.84,23.06,22.69,69300.0
1999-02-11T00:00:00-05:00,22.63,22.72,22.72,22.28,216800.0
1999-02-12T00:00:00-05:00,22.16,22.38,22.63,22.16,242300.0
1999-02-16T00:00:00-05:00,22.0,22.33,22.44,21.78,36600.0
1999-02-17T00:00:00-05:00,21.78,21.88,22.09,21.75,41700.0
1999-02-18T00:00:00-05:00,21.84,21.75,21.97,21.53,83000.0
1999-02-19T00:00:00-05:00,21.72,21.94,21.97,21.53,130300.0
1999-02-22T00:00:00-05:00,21.94,21.88,22.0,21.69,79500.0
1999-02-23T00:00:00-05:00,21.75,22.0,22.09,21.75,309600.0
1999-02-24T00:00:00-05:00,21.66,21.81,22.09,21.66,34500.0
1999-02-25T00:00:00-05:00,21.77,21.64,21.91,21.63,44600.0
1999-02-26T00:00:00-05:00,21.63,21.84,22.0,21.63,24900.0
1999-03-01T00:00:00-05:00,21.41,21.67,21.69,21.34,13300.0
1999-03-02T00:00:00-05:00,21.19,21.44,21.53,21.09,55100.0
1999-03-03T00:00:00-05:00,21.66,21.38,21.75,21.22,103300.0
1999-03-04T00:00:00-05:00,22.44,21.84,22.56,21.84,90400.0
1999-03-05T00:00:00-05:00,22.86,23.0,23.03,22.63,92700.0
1999-03-08T00:00:00-05:00,23.19,22.98,23.25,22.89,107600.0
1999-03-09T00:00:00-05:00,22.94,22.94,23.31,22.84,79000.0
1999-03-10T00:00:00-05:00,24.25,23.03,24.31,23.03,1733800.0
1999-03-11T00:00:00-05:00,24.59,25.0,25.25,24.25,909000.0
1999-03-12T00:00:00-05:00,24.5,24.88,25.06,24.25,604300.0
1999-03-15T00:00:00-05:00,24.31,24.56,24.63,24.02,523000.0
1999-03-16T00:00:00-05:00,24.19,24.09,24.31,24.0,273300.0
1999-03-17T00:00:00-05:00,24.81,24.31,24.84,24.25,362800.0
1999-03-18T00:00:00-05:00,25.13,25.25,25.31,24.94,332600.0
1999-03-19T00:00:00-05:00,24.78,25.25,25.28,24.63,260400.0
1999-03-22T00:00:00-05:00,24.94,25.0,25.13,24.73,165000.0
1999-03-23T00:00:00-05:00,24.5,24.75,24.75,24.25,137900.0
