date,close,open,high,low,volume
1998-12-22T00:00:00-05:00,32.05,32.41,32.5,31.78,300500.0
1998-12-23T00:00:00-05:00,32.81,32.75,32.81,32.16,338300.0
1998-12-24T00:00:00-05:00,32.69,32.81,32.81,32.56,243700.0
1998-12-28T00:00:00-05:00,32.78,33.19,33.19,32.59,309300.0
1998-12-29T00:00:00-05:00,32.88,32.94,33.02,32.5,123800.0
1998-12-30T00:00:00-05:00,32.75,32.69,33.14,32.58,95600.0
1998-12-31T00:00:00-05:00,32.63,32.75,32.91,32.34,77200.0
1999-01-04T00:00:00-05:00,33.0,32.66,33.56,32.59,650600.0
1999-01-05T00:00:00-05:00,33.84,33.06,34.03,33.06,295200.0
1999-01-06T00:00:00-05:00,34.84,34.69,34.94,34.41,624700.0
1999-01-07T00:00:00-05:00,34.73,34.5,35.03,34.28,534600.0
1999-01-08T00:00:00-05:00,34.88,35.5,35.56,34.48,532800.0
1999-01-11T00:00:00-05:00,35.22,35.88,35.88,34.84,497900.0
1999-01-12T00:00:00-05:00,34.27,35.5,35.56,34.27,486000.0
1999-01-13T00:00:00-05:00,34.25,32.0,35.16,32.0,548300.0
1999-01-14T00:00:00-05:00,33.78,34.34,34.63,33.56,366300.0
1999-01-15T00:00:00-05:00,34.78,34.0,34.8,33.84,653900.0
1999-01-19T00:00:00-05:00,35.98,35.63,36.0,35.02,437300.0
1999-01-20T00:00:00-05:00,36.31,36.88,37.48,36.25,1132200.0
1999-01-21T00:00:00-05:00,35.38,36.25,36.31,35.13,1492900.0
1999-01-22T00:00:00-05:00,34.75,34.75,35.41,34.39,1291000.0
1999-01-25T00:00:00-05:00,35.36,35.19,35.38,34.59,946600.0
1999-01-26T00:00:00-05:00,36.78,35.75,36.81,35.75,713900.0
1999-01-27T00:00:00-05:00,36.0,37.25,37.48,36.0,1366900.0
1999-01-28T00:00:00-05:00,37.27,36.75,37.28,36.61,903600.0
1999-01-29T00:00:00-05:00,37.81,37.38,37.84,36.94,933600.0
1999-02-01T00:00:00-05:00,37.84,38.16,38.38,37.56,913000.0
1999-02-02T00:00:00-05:00,37.2,38.0,38.0,36.63,1259200.0
1999-02-03T00:00:00-05:00,37.47,37.06,38.06,36.81,1334100.0
1999-02-04T00:00:00-05:00,36.19,37.75,37.75,35.88,1945900.0
1999-02-05T00:00:00-05:00,35.31,36.0,36.22,34.75,1832400.0
1999-02-08T00:00:00-05:00,35.91,35.75,36.5,35.13,1314600.0
1999-02-09T00:00:00-05:00,34.5,36.0,36.03,34.31,2085500.0
1999-02-10T00:00:00-05:00,34.75,34.66,35.41,34.25,1401800.0
1999-02-11T00:00:00-05:00,36.22,35.38,36.28,35.03,2666700.0
1999-02-12T00:00:00-05:00,34.78,35.38,35.78,34.59,2917400.0
1999-02-16T00:00:00-05:00,34.63,35.75,35.81,34.5,1726400.0
1999-02-17T00:00:00-05:00,33.84,33.75,34.97,33.56,2783500.0
1999-02-18T00:00:00-05:00,34.03,34.31,34.41,33.34,2075600.0
1999-02-19T00:00:00-05:00,34.34,34.63,34.88,34.16,1673600.0
1999-02-22T00:00:00-05:00,35.56,34.59,35.66,34.34,2368000.0
1999-02-23T00:00:00-05:00,36.03,36.0,36.47,35.56,2065500.0
1999-02-24T00:00:00-05:00,35.03,36.38,36.44,35.03,2500500.0
1999-02-25T00:00:00-05:00,35.13,34.38,35.13,34.13,2566200.0
1999-02-26T00:00:00-05:00,34.06,35.06,35.13,33.75,2342600.0
1999-03-01T00:00:00-05:00,33.91,33.63,34.19,33.44,1092100.0
1999-03-02T00:00:00-05:00,33.0,34.19,34.5,33.0,2480200.0
1999-03-03T00:00:00-05:00,33.56,33.5,33.72,32.88,1607800.0
1999-03-04T00:00:00-05:00,33.91,34.38,34.47,33.13,3199100.0
1999-03-05T00:00:00-05:00,34.69,34.88,35.0,34.27,1876900.0
1999-03-08T00:00:00-05:00,35.69,35.5,35.75,35.03,1659400.0
1999-03-09T00:00:00-05:00,35.31,35.5,36.19,35.19,936000.0
1999-03-10T00:00:00-05:00,35.31,35.31,35.53,34.89,442000.0
1999-03-11T00:00:00-05:00,35.25,35.5,35.97,34.91,1216200.0
1999-03-12T00:00:00-05:00,34.94,35.56,35.56,34.56,836000.0
1999-03-15T00:00:00-05:00,35.5,35.19,35.5,34.64,432100.0
1999-03-16T00:00:00-05:00,36.11,35.53,36.25,35.41,758800.0
1999-03-17T00:00:00-05:00,35.88,36.09,36.13,35.56,425400.0
1999-03-18T00:00:00-05:00,36.38,35.75,36.41,35.63,321400.0
1999-03-19T00:00:00-05:00,35.5,36.69,36.88,35.5,636500.0
1999-03-22T00:00:00-05:00,35.5,35.5,35.84,35.19,773500.0
1999-03-23T00:00:00-05:00,34.47,35.25,35.25,34.22,1498600.0
1999-03-24T00:00:00-05:00,35.14,34.69,35.3,34.09,616700.0
1999-03-25T00:00:00-05:00,35.97,35.84,36.09,35.56,595100.0
1999-03-26T00:00:00-05:00,35.78,35.81,36.38,35.59,483500.0
1999-03-29T00:00:00-05:00,37.13,36.25,37.19,36.16,949700.0
1999-03-30T00:00:00-05:00,37.06,36.94,37.5,36.75,842500.0
1999-03-31T00:00:00-05:00,36.59,37.5,37.81,36.53,774700.0
1999-04-01T00:00:00-05:00,37.17,37.5,37.53,36.5,318500.0
1999-04-05T00:00:00-04:00,38.45,37.63,38.5,37.59,1003500.0
1999-04-06T00:00:00-04:00,38.78,38.69,39.13,38.31,540100.0
1999-04-07T00:00:00-04:00,38.69,39.5,39.56,37.94,931700.0
1999-04-08T00:00:00-04:00,39.06,38.69,39.19,37.88,606900.0
1999-04-09T00:00:00-04:00,39.0,38.98,39.36,38.69,278800.0
1999-04-12T00:00:00-04:00,38.41,37.63,38.61,37.44,1037500.0
1999-04-13T00:00:00-04:00,37.81,38.56,38.75,37.5,800600.0
1999-04-14T00:00:00-04:00,36.88,38.38,38.48,36.75,475700.0
1999-04-15T00:00:00-04:00,37.19,37.31,37.38,36.09,1699200.0
1999-04-16T00:00:00-04:00,36.19,37.19,37.25,36.0,272100.0
1999-04-19T00:00:00-04:00,34.44,36.56,36.59,34.13,1208300.0
1999-04-20T00:00:00-04:00,35.31,34.81,35.38,34.13,1029400.0
1999-04-21T00:00:00-04:00,36.25,35.31,36.38,35.06,507800.0
1999-04-22T00:00:00-04:00,37.92,37.81,37.98,37.19,1032300.0
1999-04-23T00:00:00-04:00,38.0,37.72,38.34,37.25,244500.0
1999-04-26T00:00:00-04:00,38.97,38.44,39.0,38.22,265100.0
1999-04-27T00:00:00-04:00,38.0,39.44,39.47,37.97,413000.0
1999-04-28T00:00:00-04:00,37.5,38.0,38.41,37.31,894300.0
1999-04-29T00:00:00-04:00,37.11,37.5,37.56,36.59,484000.0
1999-04-30T00:00:00-04:00,36.81,37.75,37.75,35.94,760000.0
1999-05-03T00:00:00-04:00,37.13,37.0,37.25,36.59,201600.0
1999-05-04T00:00:00-04:00,36.56,36.97,37.44,36.31,1434900.0
1999-05-05T00:00:00-04:00,37.31,36.75,37.31,35.75,443100.0
1999-05-06T00:00:00-04:00,36.38,37.0,37.59,36.25,343400.0
1999-05-07T00:00:00-04:00,37.0,36.94,37.19,36.28,369700.0
1999-05-10T00:00:00-04:00,37.31,37.38,37.75,37.06,243200.0
1999-05-11T00:00:00-04:00,37.88,37.53,38.25,37.53,465600.0
1999-05-12T00:00:00-04:00,38.63,38.47,38.84,37.5,294700.0
1999-05-13T00:00:00-04:00,38.52,38.88,39.28,38.47,615500.0
1999-05-14T00:00:00-04:00,37.5,37.88,38.13,37.34,407800.0
1999-05-17T00:00:00-04:00,38.03,37.28,38.19,37.11,225600.0
1999-05-18T00:00:00-04:00,38.38,38.44,38.69,38.06,410100.0
